yield,selection_strategy,threshold
200M,No threshold,"(-inf, 0.0]"
200M,Maximum F1,"(6.595349186295235, 6.810812279174469]"
200M,FDR 15%,"(-inf, 0.0]"
200M,FDR 10%,"(0.099993319701429, 0.1487211644645205]"
200M,FDR 5%,"(1.7155471330470868, 1.7493389269321469]"
200M,FDR 1%,"(8.105200919376866, 8.191231697755295]"
500M,No threshold,"(-inf, 0.0]"
500M,Maximum F1,"(2.6737224518544607, 2.69162617414424]"
500M,FDR 15%,"(0.0660117018963539, 0.0954248607770091]"
500M,FDR 10%,"(0.1487211644645205, 0.5594376399246429]"
500M,FDR 5%,"(1.9678188904073248, 1.9914203734518536]"
500M,FDR 1%,"(10.878275095028185, 12.564109931952425]"
1000M,No threshold,"(-inf, 0.0]"
1000M,Maximum F1,"(3.135077806575997, 3.161342187158568]"
1000M,FDR 15%,"(1.059155966729792, 1.0987494405703324]"
1000M,FDR 10%,"(1.459566515667207, 1.4674627406090115]"
1000M,FDR 5%,"(2.389699063146826, 2.4509036967374564]"
1000M,FDR 1%,"(12.78133709374757, 13.393586002007694]"
1500M,No threshold,"(-inf, 0.0]"
1500M,Maximum F1,"(11.163258902693164, 12.422497026546964]"
1500M,FDR 15%,"(1.1828863299447, 1.1961349942951391]"
1500M,FDR 10%,"(2.04619273472004, 2.1636757031946035]"
1500M,FDR 5%,"(2.5923232084553254, 2.646109804646321]"
1500M,FDR 1%,"(13.713344288870877, 13.97360050069878]"
2000M,No threshold,"(-inf, 0.0]"
2000M,Maximum F1,"(12.252010904719254, 12.282644359695894]"
2000M,FDR 15%,"(1.257138465049425, 1.2857642957479445]"
2000M,FDR 10%,"(2.252439639099681, 2.5228978455675817]"
2000M,FDR 5%,"(2.745157195020773, 2.8786701183419443]"
2000M,FDR 1%,"(18.13424537589897, 20.97670531427141]"
